Product Name,Sales in the Last Month,Price,URL
NoCry Safety Glasses Over Eyeglasses with Anti Scratch Lenses - 100% UV Protective Eyewear Over Glasses - ANSI Z87 & OSHA Certified Lab Safety Goggles Over Glasses or Over Glasses Safety Glasses,1000.0,16.99,https://www.amazon.com/NoCry-Eyeglasses-Wraparound-Protective-Approved/dp/B07GBF8B2V/ref=sr_1_23?dib=eyJ2IjoiMSJ9.u8LslBHIONjYlcuS1P_eBgqK895aMiLpNcBwYIk965DWtgFGxnTbXeXVlzduQN2bbRU8yxSmUka7cZUMblIkFMRm7o55EEyEVlJvEPEOzMFrAScgCPcambA2UwCO3hlm57xjUclNtaMsDObldzEbU4Ke4WEW6S9rNHq8TVmSN9K3Ozjx3cEzHux9KmO1bPWnyHQhz0-r8DEpmXq9z0bUN4SxLoievD5GXXoJKcTnbd6N3CImrpQfrnbmoZQ5zddLNJwkOiDxhM9ce0JWh0Dzg0fj6kzJyqYQgU_1uEATHCA.LGMvnR1BBGeo1Go3KIK6CwF_Ol3gmjVWpHF473DQm-U&dib_tag=se&keywords=Fit+over+glasses&qid=1720659983&sr=8-23
"MEETSUN Fit Over Glasses Sunglasses for Men Women,Wrap Around Sunglasses Polarized UV400 Protection",963.6363636363636,14.517272727272728,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMDQ0NDAzNjU1MDg4MjQ6MTcyMDY1OTk4MzpzcF9tdGY6MzAwMDU3Nzk2MjU0NzAyOjowOjo&url=%2FMEETSUN-Sunglasses-Protection-Transparent-Frame-Night%2Fdp%2FB09QLT8KZN%2Fref%3Dsr_1_13_sspa%3Fdib%3DeyJ2IjoiMSJ9.u8LslBHIONjYlcuS1P_eBgqK895aMiLpNcBwYIk965DWtgFGxnTbXeXVlzduQN2bbRU8yxSmUka7cZUMblIkFMRm7o55EEyEVlJvEPEOzMFrAScgCPcambA2UwCO3hlm57xjUclNtaMsDObldzEbU4Ke4WEW6S9rNHq8TVmSN9K3Ozjx3cEzHux9KmO1bPWnyHQhz0-r8DEpmXq9z0bUN4SxLoievD5GXXoJKcTnbd6N3CImrpQfrnbmoZQ5zddLNJwkOiDxhM9ce0JWh0Dzg0fj6kzJyqYQgU_1uEATHCA.LGMvnR1BBGeo1Go3KIK6CwF_Ol3gmjVWpHF473DQm-U%26dib_tag%3Dse%26keywords%3DFit%2Bover%2Bglasses%26qid%3D1720659983%26sr%3D8-13-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
DUCO Wraparound Fitover Glasses Polarized Wear Over Sunglasses for Men Women UV Protection Sun Glasses Driving 8953,810.0,26.98,https://www.amazon.com/Sunglasses-Glasses-Women-Polarized-Black/dp/B07MZ2CT99/ref=sr_1_9?dib=eyJ2IjoiMSJ9.u8LslBHIONjYlcuS1P_eBgqK895aMiLpNcBwYIk965DWtgFGxnTbXeXVlzduQN2bbRU8yxSmUka7cZUMblIkFMRm7o55EEyEVlJvEPEOzMFrAScgCPcambA2UwCO3hlm57xjUclNtaMsDObldzEbU4Ke4WEW6S9rNHq8TVmSN9K3Ozjx3cEzHux9KmO1bPWnyHQhz0-r8DEpmXq9z0bUN4SxLoievD5GXXoJKcTnbd6N3CImrpQfrnbmoZQ5zddLNJwkOiDxhM9ce0JWh0Dzg0fj6kzJyqYQgU_1uEATHCA.LGMvnR1BBGeo1Go3KIK6CwF_Ol3gmjVWpHF473DQm-U&dib_tag=se&keywords=Fit+over+glasses&qid=1720659983&sr=8-9
"NoCry Safety Glasses Over Eyeglasses — Fog and Scratch-Resistant Over Glasses Safety Glasses for Men and Women with Side Shields, UV380 Protection, ANSI Z87 Rated — Perfect Safety Goggles Over Glasses",800.0,12.99,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0ODA1NDIzNDU2ODMzOTA6MTcyMDY2MDMyNDpzcF9idGY6MzAwMjQyNTExMDk0ODAyOjowOjo&url=%2FNoCry-Safety-Glasses-Eyeglasses-Scratch-Resistant%2Fdp%2FB0C1CVNFTF%2Fref%3Dsr_1_2412_sspa%3Fkeywords%3DFit%2Bover%2Bglasses%26qid%3D1720660324%26sr%3D8-2412-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
NoCry Anti Fog Safety Glasses that Fit Over Glasses with Scratch Resistant Lens — ANSI Z87 & OSHA Certified Over Glasses Safety Glasses for Men and Women with Adjustable Temples and 100% UV Protection,800.0,17.99,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MDQwMjc3OTk1OTg4NDY3OjE3MjA2NjA0NTU6c3BfbXRmOjMwMDIyOTA1OTcxNTcwMjo6MDo6&url=%2FNoCry-Safety-Glasses-Scratch-Resistant%2Fdp%2FB0CN9H9JDG%2Fref%3Dsr_1_3317_sspa%3Fkeywords%3DFit%2Bover%2Bglasses%26qid%3D1720660455%26sr%3D8-3317-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DA3H4IG5YG2M689
"Face Shadow Polarized Sunglasses Fit Over Glasses, Sunglasses for Women to Go Over Glasses UV Protection Lightweight",800.0,17.656666666666666,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NTcwNDc1NDAzNzg2NzkzOjE3MjA2NjA0OTA6c3BfbXRmOjIwMDEzMzU5MTY5MjU5ODo6MDo6&url=%2FPolarized-Sunglasses-Oversized-Protection-Lightweight%2Fdp%2FB0B14973CJ%2Fref%3Dsr_1_3557_sspa%3Fkeywords%3DFit%2Bover%2Bglasses%26qid%3D1720660490%26sr%3D8-3557-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Polarized Sunglasses Fit Over Glasses Over Glasses Trendy Round Cat Eye Wrap-around Sunglasses (Grey leopard, Black)",600.0,16.99,https://www.amazon.com/Leoidou-Sunglasses-Prescription-Protection-Wrap-around/dp/B09HC6JWR1/ref=sr_1_36?dib=eyJ2IjoiMSJ9.u8LslBHIONjYlcuS1P_eBgqK895aMiLpNcBwYIk965DWtgFGxnTbXeXVlzduQN2bbRU8yxSmUka7cZUMblIkFMRm7o55EEyEVlJvEPEOzMFrAScgCPcambA2UwCO3hlm57xjUclNtaMsDObldzEbU4Ke4WEW6S9rNHq8TVmSN9K3Ozjx3cEzHux9KmO1bPWnyHQhz0-r8DEpmXq9z0bUN4SxLoievD5GXXoJKcTnbd6N3CImrpQfrnbmoZQ5zddLNJwkOiDxhM9ce0JWh0Dzg0fj6kzJyqYQgU_1uEATHCA.LGMvnR1BBGeo1Go3KIK6CwF_Ol3gmjVWpHF473DQm-U&dib_tag=se&keywords=Fit+over+glasses&qid=1720659983&sr=8-36
Face Shadow Polarized Sunglasses Over Glasses Women Fit Over Glasses Sunglasses Square Sunglasses UV Protection Lightweight,485.7142857142857,18.70428571428571,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMTk2MDg0MDMwMjM4MTI0OjE3MjA2NjAwMDI6c3BfbXRmOjMwMDA5MDYyMTI1MjcwMjo6MDo6&url=%2FFace-Shadow-Sunglasses-Protection-Lightweight%2Fdp%2FB0CGHJ4QCK%2Fref%3Dsr_1_115_sspa%3Fdib%3DeyJ2IjoiMSJ9.d8oXMG8E9fRYFwGviNRnVcCy0qhyklFKAiCuWewTLIVF5GARE2m6pad6XgC80oYN0ZibyZA3I6PNS094vTkSye3xTOnGJDuLxg7ZaPt8wSHZG43ieNGu_9Oc5G3-I2DukOCVEOKwJkBxC2rc6WJKu5j2z6YEus74KrsYZCPEGQxk5k-jSAXFJ7rIEMpkTbbIJwrNYyaRjVW0IH91lG7188PxhJkw2XS6cKpwf5y1Tru_c51fczPz6NL-SYCHbcQcnY1osXPHyOStwp-yHE-LOe6zisqE3qVC6DZgmclcz4I.M2MPN9o6Ldq5zKB6QJtW3SLUbXZji4hm3Y0dMzrCtRg%26dib_tag%3Dse%26keywords%3DFit%2Bover%2Bglasses%26qid%3D1720660002%26sr%3D8-115-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
SHEEN KELLY Oversized Polarized Fit Over Sunglasses Women Men TR90 Mirrored Over Glasses Cat Eye Driver Goggles,471.42857142857144,18.98,https://www.amazon.com/Oversized-Sunglasses-Mirrored-Polarized-Prescription/dp/B07BXFYGHV/ref=sr_1_24?dib=eyJ2IjoiMSJ9.u8LslBHIONjYlcuS1P_eBgqK895aMiLpNcBwYIk965DWtgFGxnTbXeXVlzduQN2bbRU8yxSmUka7cZUMblIkFMRm7o55EEyEVlJvEPEOzMFrAScgCPcambA2UwCO3hlm57xjUclNtaMsDObldzEbU4Ke4WEW6S9rNHq8TVmSN9K3Ozjx3cEzHux9KmO1bPWnyHQhz0-r8DEpmXq9z0bUN4SxLoievD5GXXoJKcTnbd6N3CImrpQfrnbmoZQ5zddLNJwkOiDxhM9ce0JWh0Dzg0fj6kzJyqYQgU_1uEATHCA.LGMvnR1BBGeo1Go3KIK6CwF_Ol3gmjVWpHF473DQm-U&dib_tag=se&keywords=Fit+over+glasses&qid=1720659983&sr=8-24
"NoCry Tinted Safety Glasses Over Eyeglasses with Anti Scratch Wraparound Lenses, UV400 Safety Glasses Over Glasses, ANSI Z87 Certified Over Glasses Safety Glasses or Shooting Glasses Over Eyeglasses",450.0,16.99,https://www.amazon.com/NoCry-Eyeglasses-Wraparound-Certified-Shooting/dp/B079P8936K/ref=sr_1_40?dib=eyJ2IjoiMSJ9.u8LslBHIONjYlcuS1P_eBgqK895aMiLpNcBwYIk965DWtgFGxnTbXeXVlzduQN2bbRU8yxSmUka7cZUMblIkFMRm7o55EEyEVlJvEPEOzMFrAScgCPcambA2UwCO3hlm57xjUclNtaMsDObldzEbU4Ke4WEW6S9rNHq8TVmSN9K3Ozjx3cEzHux9KmO1bPWnyHQhz0-r8DEpmXq9z0bUN4SxLoievD5GXXoJKcTnbd6N3CImrpQfrnbmoZQ5zddLNJwkOiDxhM9ce0JWh0Dzg0fj6kzJyqYQgU_1uEATHCA.LGMvnR1BBGeo1Go3KIK6CwF_Ol3gmjVWpHF473DQm-U&dib_tag=se&keywords=Fit+over+glasses&qid=1720659983&sr=8-40
BIRCEN Polarized Fit Over Sunglasses: Wear Over Glasses Sunglasses Wrap Around Shades for Men Women UV Protection BC2113,400.0,21.95,https://www.amazon.com/BIRCEN-Polarized-Fit-Over-Sunglasses/dp/B0CTHD7D4S/ref=sr_1_27?dib=eyJ2IjoiMSJ9.u8LslBHIONjYlcuS1P_eBgqK895aMiLpNcBwYIk965DWtgFGxnTbXeXVlzduQN2bbRU8yxSmUka7cZUMblIkFMRm7o55EEyEVlJvEPEOzMFrAScgCPcambA2UwCO3hlm57xjUclNtaMsDObldzEbU4Ke4WEW6S9rNHq8TVmSN9K3Ozjx3cEzHux9KmO1bPWnyHQhz0-r8DEpmXq9z0bUN4SxLoievD5GXXoJKcTnbd6N3CImrpQfrnbmoZQ5zddLNJwkOiDxhM9ce0JWh0Dzg0fj6kzJyqYQgU_1uEATHCA.LGMvnR1BBGeo1Go3KIK6CwF_Ol3gmjVWpHF473DQm-U&dib_tag=se&keywords=Fit+over+glasses&qid=1720659983&sr=8-27
Night Driving Glasses Anti Glare Polarized Night Vision Yellow Tint Night Driving Glare Reducing Fit Over Driving Sunglasses Men and Women,400.0,13.89,https://www.amazon.com/Driving-Glasses-Polarized-Reducing-Sunglasses/dp/B07NZX22WM/ref=sr_1_104?dib=eyJ2IjoiMSJ9.d8oXMG8E9fRYFwGviNRnVcCy0qhyklFKAiCuWewTLIVF5GARE2m6pad6XgC80oYN0ZibyZA3I6PNS094vTkSye3xTOnGJDuLxg7ZaPt8wSHZG43ieNGu_9Oc5G3-I2DukOCVEOKwJkBxC2rc6WJKu5j2z6YEus74KrsYZCPEGQxk5k-jSAXFJ7rIEMpkTbbIJwrNYyaRjVW0IH91lG7188PxhJkw2XS6cKpwf5y1Tru_c51fczPz6NL-SYCHbcQcnY1osXPHyOStwp-yHE-LOe6zisqE3qVC6DZgmclcz4I.M2MPN9o6Ldq5zKB6QJtW3SLUbXZji4hm3Y0dMzrCtRg&dib_tag=se&keywords=Fit+over+glasses&qid=1720660002&sr=8-104
"Dioptics unisex adult Solar Shield-classic Fits Over Sunglasses, Grey, 66 mm US",400.0,18.7,https://www.amazon.com/Dioptics-unisex-adult-Shield-classic-Sunglasses/dp/B00T8O6BKM/ref=sr_1_34?dib=eyJ2IjoiMSJ9.u8LslBHIONjYlcuS1P_eBgqK895aMiLpNcBwYIk965DWtgFGxnTbXeXVlzduQN2bbRU8yxSmUka7cZUMblIkFMRm7o55EEyEVlJvEPEOzMFrAScgCPcambA2UwCO3hlm57xjUclNtaMsDObldzEbU4Ke4WEW6S9rNHq8TVmSN9K3Ozjx3cEzHux9KmO1bPWnyHQhz0-r8DEpmXq9z0bUN4SxLoievD5GXXoJKcTnbd6N3CImrpQfrnbmoZQ5zddLNJwkOiDxhM9ce0JWh0Dzg0fj6kzJyqYQgU_1uEATHCA.LGMvnR1BBGeo1Go3KIK6CwF_Ol3gmjVWpHF473DQm-U&dib_tag=se&keywords=Fit+over+glasses&qid=1720659983&sr=8-34
Frienda 3Pcs Fit Over Sunglasses Men Women Polarized Lens Wrap Over Glasses Driving Sport Oversize Eyeglasses,350.0,19.99,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNTQyNzE1MDcyMjE0MDQ1OjE3MjA2NjAxMzA6c3BfbXRmOjMwMDI1Nzg5NDU0MTYwMjo6MDo6&url=%2FFrienda-Sunglasses-Polarized-Oversize-Eyeglasses%2Fdp%2FB0CZ8M9DB8%2Fref%3Dsr_1_1020_sspa%3Fkeywords%3DFit%2Bover%2Bglasses%26qid%3D1720660130%26sr%3D8-1020-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"BLUE CUT Fit Over Polarized Sunglasses Driving Clip-on Over Glasses, Solar Shield Sunglasses Over Prescription Glasses",316.6666666666667,24.97,https://www.amazon.com/Polarized-Sunglasses-Driving-Prescription-Glasses/dp/B07RKJH1Q1/ref=sr_1_41?dib=eyJ2IjoiMSJ9.u8LslBHIONjYlcuS1P_eBgqK895aMiLpNcBwYIk965DWtgFGxnTbXeXVlzduQN2bbRU8yxSmUka7cZUMblIkFMRm7o55EEyEVlJvEPEOzMFrAScgCPcambA2UwCO3hlm57xjUclNtaMsDObldzEbU4Ke4WEW6S9rNHq8TVmSN9K3Ozjx3cEzHux9KmO1bPWnyHQhz0-r8DEpmXq9z0bUN4SxLoievD5GXXoJKcTnbd6N3CImrpQfrnbmoZQ5zddLNJwkOiDxhM9ce0JWh0Dzg0fj6kzJyqYQgU_1uEATHCA.LGMvnR1BBGeo1Go3KIK6CwF_Ol3gmjVWpHF473DQm-U&dib_tag=se&keywords=Fit+over+glasses&qid=1720659983&sr=8-41
MEETSUN Lightweight Oversized Fit Over Glasses Sunglasses for Women Trendy Square Polarized Sun Glasses for Driving,300.0,16.99,https://www.amazon.com/MEETSUN-Oversized-Sunglasses-Polarized-Protection/dp/B0CS2B4YK2/ref=sr_1_33?dib=eyJ2IjoiMSJ9.u8LslBHIONjYlcuS1P_eBgqK895aMiLpNcBwYIk965DWtgFGxnTbXeXVlzduQN2bbRU8yxSmUka7cZUMblIkFMRm7o55EEyEVlJvEPEOzMFrAScgCPcambA2UwCO3hlm57xjUclNtaMsDObldzEbU4Ke4WEW6S9rNHq8TVmSN9K3Ozjx3cEzHux9KmO1bPWnyHQhz0-r8DEpmXq9z0bUN4SxLoievD5GXXoJKcTnbd6N3CImrpQfrnbmoZQ5zddLNJwkOiDxhM9ce0JWh0Dzg0fj6kzJyqYQgU_1uEATHCA.LGMvnR1BBGeo1Go3KIK6CwF_Ol3gmjVWpHF473DQm-U&dib_tag=se&keywords=Fit+over+glasses&qid=1720659983&sr=8-33
MEETSUN Oversized Fit Over Glasses Sunglasses for Women Men Trendy Polarized UV Protection Sun Glasses for Driving,300.0,16.99,https://www.amazon.com/MEETSUN-Oversized-Sunglasses-Polarized-Protection/dp/B0CN41NRZ6/ref=sr_1_71?dib=eyJ2IjoiMSJ9.PdOQVeDzCOgMHQnKpBa6QKpCCXRP0iWEp3AQPhcKVnFHyeFHKPmdit1TBKdHJWyfSc1sv3zob5FpDIRkTQKGpjhgQWYZO8vTRIsD5E8YctOjN5tLlOA39fU0Wt6pSTPbim0_094WwrPTTEixOzVREXScRGUSPxU2OchxPNWy1SWXNbt_GzpHu-yySRq5EX7pYIssTKNyBgC2KEltv1ulXMkHLVit0v-ty0aHTXkRIdM_pV5hVoMVoX1qZpGmXFYm6iEuZsPi7lyKf2e2kK9s2_rm8PQ5Keu7QBYWqvHwWsk.Z4ua-fmJ8vm9Fb-f0_5lny3vd6u6wy0DxOoOjyIXE_I&dib_tag=se&keywords=Fit+over+glasses&qid=1720659994&sr=8-71
Yogo Vision Fit Over Wrap Sunglasses Polarized Lens Wear Over Eyeglasses 100% UV Protection for Men and Women,262.5,17.24,https://www.amazon.com/Sunglasses-Polarized-Eyeglasses-Protection-Burgundy/dp/B08GKZ63DQ/ref=sr_1_16?dib=eyJ2IjoiMSJ9.u8LslBHIONjYlcuS1P_eBgqK895aMiLpNcBwYIk965DWtgFGxnTbXeXVlzduQN2bbRU8yxSmUka7cZUMblIkFMRm7o55EEyEVlJvEPEOzMFrAScgCPcambA2UwCO3hlm57xjUclNtaMsDObldzEbU4Ke4WEW6S9rNHq8TVmSN9K3Ozjx3cEzHux9KmO1bPWnyHQhz0-r8DEpmXq9z0bUN4SxLoievD5GXXoJKcTnbd6N3CImrpQfrnbmoZQ5zddLNJwkOiDxhM9ce0JWh0Dzg0fj6kzJyqYQgU_1uEATHCA.LGMvnR1BBGeo1Go3KIK6CwF_Ol3gmjVWpHF473DQm-U&dib_tag=se&keywords=Fit+over+glasses&qid=1720659983&sr=8-16
BLUE CUT Fit Over Polarized Sunglasses Solar Shield Sunglasses To Wear Over Glasses,250.0,24.95,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMDQ0NDAzNjU1MDg4MjQ6MTcyMDY1OTk4MzpzcF9tdGY6MzAwMTc2NDg3OTM2OTAyOjowOjo&url=%2FGREAT-PICK-Polarized-Sunglasses-Regular%2Fdp%2FB01J072S30%2Fref%3Dsr_1_22_sspa%3Fdib%3DeyJ2IjoiMSJ9.u8LslBHIONjYlcuS1P_eBgqK895aMiLpNcBwYIk965DWtgFGxnTbXeXVlzduQN2bbRU8yxSmUka7cZUMblIkFMRm7o55EEyEVlJvEPEOzMFrAScgCPcambA2UwCO3hlm57xjUclNtaMsDObldzEbU4Ke4WEW6S9rNHq8TVmSN9K3Ozjx3cEzHux9KmO1bPWnyHQhz0-r8DEpmXq9z0bUN4SxLoievD5GXXoJKcTnbd6N3CImrpQfrnbmoZQ5zddLNJwkOiDxhM9ce0JWh0Dzg0fj6kzJyqYQgU_1uEATHCA.LGMvnR1BBGeo1Go3KIK6CwF_Ol3gmjVWpHF473DQm-U%26dib_tag%3Dse%26keywords%3DFit%2Bover%2Bglasses%26qid%3D1720659983%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Sunglasses that Fit Over Glasses for Women UV Protection Polarized and Night Vision Fitover Eyeglasses,250.0,19.447142857142858,https://www.amazon.com/Sunglasses-Protection-Polarized-Vision-Eyeglasses/dp/B09XFDCHW9/ref=sr_1_10?dib=eyJ2IjoiMSJ9.u8LslBHIONjYlcuS1P_eBgqK895aMiLpNcBwYIk965DWtgFGxnTbXeXVlzduQN2bbRU8yxSmUka7cZUMblIkFMRm7o55EEyEVlJvEPEOzMFrAScgCPcambA2UwCO3hlm57xjUclNtaMsDObldzEbU4Ke4WEW6S9rNHq8TVmSN9K3Ozjx3cEzHux9KmO1bPWnyHQhz0-r8DEpmXq9z0bUN4SxLoievD5GXXoJKcTnbd6N3CImrpQfrnbmoZQ5zddLNJwkOiDxhM9ce0JWh0Dzg0fj6kzJyqYQgU_1uEATHCA.LGMvnR1BBGeo1Go3KIK6CwF_Ol3gmjVWpHF473DQm-U&dib_tag=se&keywords=Fit+over+glasses&qid=1720659983&sr=8-10
